,Date,Day,count,status,country
0,3/22/2014,0,49.0,Cases,Guinea
976,3/22/2014,0,29.0,Deaths,Guinea
122,3/22/2014,0,1538.0,Cases,Liberia
1098,3/22/2014,0,782.5,Deaths,Liberia
854,3/22/2014,0,7.0,Cases,Mali
1830,3/22/2014,0,6.0,Deaths,Mali
366,3/22/2014,0,20.0,Cases,Nigeria
1342,3/22/2014,0,8.0,Deaths,Nigeria
488,3/22/2014,0,1.0,Cases,Senegal
1464,3/22/2014,0,0.0,Deaths,Senegal
244,3/22/2014,0,1121.0,Cases,SierraLeone
1220,3/22/2014,0,449.0,Deaths,SierraLeone
732,3/22/2014,0,1.0,Cases,Spain
1708,3/22/2014,0,0.0,Deaths,Spain
610,3/22/2014,0,4.0,Cases,UnitedStates
1586,3/22/2014,0,1.0,Deaths,UnitedStates
1,3/24/2014,2,86.0,Cases,Guinea
977,3/24/2014,2,59.0,Deaths,Guinea
123,3/24/2014,2,1538.0,Cases,Liberia
1099,3/24/2014,2,782.5,Deaths,Liberia
855,3/24/2014,2,7.0,Cases,Mali
1831,3/24/2014,2,6.0,Deaths,Mali
367,3/24/2014,2,20.0,Cases,Nigeria
1343,3/24/2014,2,8.0,Deaths,Nigeria
489,3/24/2014,2,1.0,Cases,Senegal
1465,3/24/2014,2,0.0,Deaths,Senegal
245,3/24/2014,2,1121.0,Cases,SierraLeone
1221,3/24/2014,2,449.0,Deaths,SierraLeone
733,3/24/2014,2,1.0,Cases,Spain
1709,3/24/2014,2,0.0,Deaths,Spain
611,3/24/2014,2,4.0,Cases,UnitedStates
1587,3/24/2014,2,1.0,Deaths,UnitedStates
2,3/25/2014,3,86.0,Cases,Guinea
978,3/25/2014,3,60.0,Deaths,Guinea
124,3/25/2014,3,1538.0,Cases,Liberia
1100,3/25/2014,3,782.5,Deaths,Liberia
856,3/25/2014,3,7.0,Cases,Mali
1832,3/25/2014,3,6.0,Deaths,Mali
368,3/25/2014,3,20.0,Cases,Nigeria
1344,3/25/2014,3,8.0,Deaths,Nigeria
490,3/25/2014,3,1.0,Cases,Senegal
1466,3/25/2014,3,0.0,Deaths,Senegal
246,3/25/2014,3,1121.0,Cases,SierraLeone
1222,3/25/2014,3,449.0,Deaths,SierraLeone
734,3/25/2014,3,1.0,Cases,Spain
1710,3/25/2014,3,0.0,Deaths,Spain
612,3/25/2014,3,4.0,Cases,UnitedStates
1588,3/25/2014,3,1.0,Deaths,UnitedStates
3,3/26/2014,4,86.0,Cases,Guinea
979,3/26/2014,4,62.0,Deaths,Guinea
125,3/26/2014,4,1538.0,Cases,Liberia
1101,3/26/2014,4,782.5,Deaths,Liberia
857,3/26/2014,4,7.0,Cases,Mali
1833,3/26/2014,4,6.0,Deaths,Mali
369,3/26/2014,4,20.0,Cases,Nigeria
1345,3/26/2014,4,8.0,Deaths,Nigeria
491,3/26/2014,4,1.0,Cases,Senegal
1467,3/26/2014,4,0.0,Deaths,Senegal
247,3/26/2014,4,1121.0,Cases,SierraLeone
1223,3/26/2014,4,449.0,Deaths,SierraLeone
735,3/26/2014,4,1.0,Cases,Spain
1711,3/26/2014,4,0.0,Deaths,Spain
613,3/26/2014,4,4.0,Cases,UnitedStates
1589,3/26/2014,4,1.0,Deaths,UnitedStates
4,3/27/2014,5,103.0,Cases,Guinea
980,3/27/2014,5,66.0,Deaths,Guinea
126,3/27/2014,5,8.0,Cases,Liberia
1102,3/27/2014,5,6.0,Deaths,Liberia
858,3/27/2014,5,7.0,Cases,Mali
1834,3/27/2014,5,6.0,Deaths,Mali
370,3/27/2014,5,20.0,Cases,Nigeria
1346,3/27/2014,5,8.0,Deaths,Nigeria
492,3/27/2014,5,1.0,Cases,Senegal
1468,3/27/2014,5,0.0,Deaths,Senegal
248,3/27/2014,5,6.0,Cases,SierraLeone
1224,3/27/2014,5,5.0,Deaths,SierraLeone
736,3/27/2014,5,1.0,Cases,Spain
1712,3/27/2014,5,0.0,Deaths,Spain
614,3/27/2014,5,4.0,Cases,UnitedStates
1590,3/27/2014,5,1.0,Deaths,UnitedStates
5,3/28/2014,6,112.0,Cases,Guinea
981,3/28/2014,6,70.0,Deaths,Guinea
127,3/28/2014,6,3.0,Cases,Liberia
1103,3/28/2014,6,3.0,Deaths,Liberia
859,3/28/2014,6,7.0,Cases,Mali
1835,3/28/2014,6,6.0,Deaths,Mali
371,3/28/2014,6,20.0,Cases,Nigeria
1347,3/28/2014,6,8.0,Deaths,Nigeria
493,3/28/2014,6,1.0,Cases,Senegal
1469,3/28/2014,6,0.0,Deaths,Senegal
249,3/28/2014,6,2.0,Cases,SierraLeone
1225,3/28/2014,6,2.0,Deaths,SierraLeone
737,3/28/2014,6,1.0,Cases,Spain
1713,3/28/2014,6,0.0,Deaths,Spain
615,3/28/2014,6,4.0,Cases,UnitedStates
1591,3/28/2014,6,1.0,Deaths,UnitedStates
6,3/29/2014,7,112.0,Cases,Guinea
982,3/29/2014,7,70.0,Deaths,Guinea
128,3/29/2014,7,7.0,Cases,Liberia
1104,3/29/2014,7,2.0,Deaths,Liberia
860,3/29/2014,7,7.0,Cases,Mali
1836,3/29/2014,7,6.0,Deaths,Mali
372,3/29/2014,7,20.0,Cases,Nigeria
1348,3/29/2014,7,8.0,Deaths,Nigeria
494,3/29/2014,7,1.0,Cases,Senegal
1470,3/29/2014,7,0.0,Deaths,Senegal
250,3/29/2014,7,2.0,Cases,SierraLeone
1226,3/29/2014,7,2.0,Deaths,SierraLeone
738,3/29/2014,7,1.0,Cases,Spain
1714,3/29/2014,7,0.0,Deaths,Spain
616,3/29/2014,7,4.0,Cases,UnitedStates
1592,3/29/2014,7,1.0,Deaths,UnitedStates
7,3/31/2014,9,122.0,Cases,Guinea
983,3/31/2014,9,80.0,Deaths,Guinea
129,3/31/2014,9,8.0,Cases,Liberia
1105,3/31/2014,9,4.0,Deaths,Liberia
861,3/31/2014,9,7.0,Cases,Mali
1837,3/31/2014,9,6.0,Deaths,Mali
373,3/31/2014,9,20.0,Cases,Nigeria
1349,3/31/2014,9,8.0,Deaths,Nigeria
495,3/31/2014,9,1.0,Cases,Senegal
1471,3/31/2014,9,0.0,Deaths,Senegal
251,3/31/2014,9,2.0,Cases,SierraLeone
1227,3/31/2014,9,2.0,Deaths,SierraLeone
739,3/31/2014,9,1.0,Cases,Spain
1715,3/31/2014,9,0.0,Deaths,Spain
617,3/31/2014,9,4.0,Cases,UnitedStates
1593,3/31/2014,9,1.0,Deaths,UnitedStates
8,4/1/2014,10,127.0,Cases,Guinea
984,4/1/2014,10,83.0,Deaths,Guinea
130,4/1/2014,10,8.0,Cases,Liberia
1106,4/1/2014,10,5.0,Deaths,Liberia
862,4/1/2014,10,7.0,Cases,Mali
1838,4/1/2014,10,6.0,Deaths,Mali
374,4/1/2014,10,20.0,Cases,Nigeria
1350,4/1/2014,10,8.0,Deaths,Nigeria
496,4/1/2014,10,1.0,Cases,Senegal
1472,4/1/2014,10,0.0,Deaths,Senegal
252,4/1/2014,10,2.0,Cases,SierraLeone
1228,4/1/2014,10,2.0,Deaths,SierraLeone
740,4/1/2014,10,1.0,Cases,Spain
1716,4/1/2014,10,0.0,Deaths,Spain
618,4/1/2014,10,4.0,Cases,UnitedStates
1594,4/1/2014,10,1.0,Deaths,UnitedStates
9,4/4/2014,13,143.0,Cases,Guinea
985,4/4/2014,13,86.0,Deaths,Guinea
131,4/4/2014,13,18.0,Cases,Liberia
1107,4/4/2014,13,7.0,Deaths,Liberia
863,4/4/2014,13,7.0,Cases,Mali
1839,4/4/2014,13,6.0,Deaths,Mali
375,4/4/2014,13,20.0,Cases,Nigeria
1351,4/4/2014,13,8.0,Deaths,Nigeria
497,4/4/2014,13,1.0,Cases,Senegal
1473,4/4/2014,13,0.0,Deaths,Senegal
253,4/4/2014,13,2.0,Cases,SierraLeone
1229,4/4/2014,13,2.0,Deaths,SierraLeone
741,4/4/2014,13,1.0,Cases,Spain
1717,4/4/2014,13,0.0,Deaths,Spain
619,4/4/2014,13,4.0,Cases,UnitedStates
1595,4/4/2014,13,1.0,Deaths,UnitedStates
10,4/7/2014,16,151.0,Cases,Guinea
986,4/7/2014,16,95.0,Deaths,Guinea
132,4/7/2014,16,21.0,Cases,Liberia
1108,4/7/2014,16,10.0,Deaths,Liberia
864,4/7/2014,16,7.0,Cases,Mali
1840,4/7/2014,16,6.0,Deaths,Mali
376,4/7/2014,16,20.0,Cases,Nigeria
1352,4/7/2014,16,8.0,Deaths,Nigeria
498,4/7/2014,16,1.0,Cases,Senegal
1474,4/7/2014,16,0.0,Deaths,Senegal
254,4/7/2014,16,2.0,Cases,SierraLeone
1230,4/7/2014,16,2.0,Deaths,SierraLeone
742,4/7/2014,16,1.0,Cases,Spain
1718,4/7/2014,16,0.0,Deaths,Spain
620,4/7/2014,16,4.0,Cases,UnitedStates
1596,4/7/2014,16,1.0,Deaths,UnitedStates
11,4/9/2014,18,158.0,Cases,Guinea
987,4/9/2014,18,101.0,Deaths,Guinea
133,4/9/2014,18,25.0,Cases,Liberia
1109,4/9/2014,18,12.0,Deaths,Liberia
865,4/9/2014,18,7.0,Cases,Mali
1841,4/9/2014,18,6.0,Deaths,Mali
377,4/9/2014,18,20.0,Cases,Nigeria
1353,4/9/2014,18,8.0,Deaths,Nigeria
499,4/9/2014,18,1.0,Cases,Senegal
1475,4/9/2014,18,0.0,Deaths,Senegal
255,4/9/2014,18,2.0,Cases,SierraLeone
1231,4/9/2014,18,2.0,Deaths,SierraLeone
743,4/9/2014,18,1.0,Cases,Spain
1719,4/9/2014,18,0.0,Deaths,Spain
621,4/9/2014,18,4.0,Cases,UnitedStates
1597,4/9/2014,18,1.0,Deaths,UnitedStates
12,4/11/2014,20,159.0,Cases,Guinea
988,4/11/2014,20,106.0,Deaths,Guinea
134,4/11/2014,20,26.0,Cases,Liberia
1110,4/11/2014,20,13.0,Deaths,Liberia
866,4/11/2014,20,7.0,Cases,Mali
1842,4/11/2014,20,6.0,Deaths,Mali
378,4/11/2014,20,20.0,Cases,Nigeria
1354,4/11/2014,20,8.0,Deaths,Nigeria
