MedInc,HouseAge,AveRooms,AveBedrms,Population,AveOccup,Latitude,Longitude,Label
8.3252,41.0,6.984126984126984,1.0238095238095237,322.0,2.5555555555555554,37.88,-122.23,high
1.3578,40.0,4.524096385542169,,409.0,2.463855421686747,37.85,-122.27,mid-low
2.0978,52.0,4.215189873417722,1.0607594936708862,946.0,2.3949367088607594,37.83,-122.26,mid-low
3.3929,,5.994652406417113,1.1283422459893049,554.0,2.962566844919786,37.83,-122.29,low
,17.0,3.1972318339100347,1.0,609.0,2.1072664359861593,37.81,-122.28,mid
2.4912,29.0,3.7248,,2304.0,1.8432,37.81,-122.25,mid-high
5.956,41.0,6.851063829787234,1.0797872340425532,794.0,2.1117021276595747,37.83,-122.24,high
6.3624,30.0,5.615384615384615,0.7307692307692307,126.0,2.423076923076923,37.81,-122.18,high
2.1944,52.0,5.074285714285714,0.96,360.0,2.057142857142857,37.8,-122.24,mid-high
2.5238,49.0,4.192023633677991,1.106351550960118,1487.0,2.1964549483013296,37.8,-122.24,mid
3.0257,52.0,4.046948356807512,1.0093896713615023,994.0,4.666666666666667,37.78,-122.23,low
3.0682,39.0,4.316810344827586,1.0775862068965518,1109.0,2.3900862068965516,37.8,-122.21,mid-low
2.7352,46.0,3.9349736379613356,0.8927943760984183,1390.0,2.4428822495606326,37.78,-122.21,mid-low
3.5398,52.0,5.4373522458628845,1.0472813238770686,1225.0,2.895981087470449,37.78,-122.2,mid
6.2838,34.0,6.948717948717949,1.0,442.0,2.2666666666666666,37.8,-122.18,high
1.9479,50.0,4.82520325203252,1.0609756097560976,907.0,3.686991869918699,37.76,-122.18,low
0.8012,28.0,,1.1666666666666667,435.0,2.685185185185185,37.75,-122.19,low
1.325,46.0,4.825641025641025,1.117948717948718,621.0,3.1846153846153844,37.75,-122.18,low
,26.0,6.127579737335835,0.9212007504690432,1222.0,2.292682926829268,37.76,-122.13,mid-high
4.0417,43.0,5.2,1.0169491525423728,826.0,2.8,37.74,-122.16,mid-low
4.2614,52.0,5.520958083832335,0.9940119760479041,769.0,2.302395209580838,37.88,-122.28,mid-high
6.6828,52.0,7.353174603174603,1.0535714285714286,1205.0,2.390873015873016,,-122.26,high
2.9,46.0,4.6394366197183095,1.0591549295774647,854.0,2.4056338028169013,37.88,-122.3,mid-low
1.4012,52.0,3.105714285714286,1.06,3337.0,9.534285714285714,37.87,-122.26,mid
2.2845,41.0,3.897887323943662,0.9683098591549296,1213.0,2.13556338028169,37.86,-122.28,mid-low
1.5817,52.0,5.43801652892562,1.1735537190082646,875.0,2.4104683195592287,37.85,-122.27,mid-low
5.2128,52.0,5.862934362934363,0.9961389961389961,1242.0,2.3976833976833976,,-122.23,high
2.9688,52.0,4.230547550432276,,870.0,2.5072046109510087,37.77,-122.28,mid-high
2.6833,52.0,4.139013452914798,1.0560538116591929,827.0,,37.76,-122.24,mid-high
4.9801,36.0,6.327472527472527,1.054945054945055,1235.0,2.7142857142857144,37.71,-122.07,mid-high
3.0,32.0,4.899135446685879,1.0605187319884726,1487.0,2.142651296829971,37.7,-122.07,mid-high
2.8301,49.0,4.412987012987013,1.0597402597402596,768.0,1.9948051948051948,37.73,-122.16,mid
2.8125,,4.333679833679834,1.0883575883575884,2024.0,,37.72,-122.15,mid
3.5547,,5.609195402298851,0.9348659003831418,672.0,2.574712643678161,37.7,-122.15,mid
4.2841,30.0,5.903394255874674,1.156657963446475,929.0,2.425587467362924,37.68,-122.15,mid-high
6.5,20.0,6.451612903225806,0.8064516129032258,83.0,2.6774193548387095,37.69,-122.03,high
